fix_hash,fix_date,bug_hash,bug_date,project
1a75714e72e2d004f77672d9e6d15e039af6f46e,1262662506,f819281357234e13395b88817731090e40f93f4b,1253239097,HDFS
1a75714e72e2d004f77672d9e6d15e039af6f46e,1262662506,684969f790cd64318ede8a1e697df54960d2de4e,1261609960,HDFS
971a0fe85dddde762ef907e749b6db56f56c5f80,1263147672,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
e9de80e5da2d3ab8d4f7771eb95bbc038baa145e,1263233165,039ad1c2192c528c19a8f7a35ce49f3e2bc6c64a,1257986688,HDFS
e9de80e5da2d3ab8d4f7771eb95bbc038baa145e,1263233165,96378c230b82f825b9d3088cfd1df87d16cfd125,1259635539,HDFS
87c4ba830a93a782377e4c0ead9c5eca3984a41d,1263510276,58f1184e1af04654a42993cf75d16df6d9e93db2,1254353970,HDFS
3ff45f32a3b21a90c4e638e5559acd0e5db3385a,1264534605,72faeea4fc0da06c63bac815acc0ea9eda1bb36b,1264146807,HDFS
212dff13ec8636755b5239c00a8c1eda25ee816b,1265091936,867a53a2c337f6774c7d84715ac038ca566a384f,1256257695,HDFS
212dff13ec8636755b5239c00a8c1eda25ee816b,1265091936,415ccedbd222bc67d91e067978b7b383b3284c5a,1242707756,HDFS
212dff13ec8636755b5239c00a8c1eda25ee816b,1265091936,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
212dff13ec8636755b5239c00a8c1eda25ee816b,1265091936,c5fd3c44c2fcbbd3ec3c2cc5ce75e5105dce247a,1261594664,HDFS
4e1c26d2c8190572192d474140ee89c39111f19d,1265139863,415ccedbd222bc67d91e067978b7b383b3284c5a,1242707756,HDFS
4e1c26d2c8190572192d474140ee89c39111f19d,1265139863,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
4e1c26d2c8190572192d474140ee89c39111f19d,1265139863,3da6edda389fb32131658c589f926db1c3bf6a67,1264580458,HDFS
4e1c26d2c8190572192d474140ee89c39111f19d,1265139863,4e1de3ba196e30909c3086f72358c558802e2c17,1258492711,HDFS
ce91f41907a915bdef83d7e4d345a78984d49938,1266415667,97517336485cb80c322c6ed4cbedb481e8e7964e,1266362089,HDFS
ce91f41907a915bdef83d7e4d345a78984d49938,1266415667,9f4041129fe2752c44bdddf0ebd983ee35b413c4,1265703940,HDFS
ce91f41907a915bdef83d7e4d345a78984d49938,1266415667,2d96ba78e04066da9dd307dc7488492e4ec4ee7b,1264534446,HDFS
ce91f41907a915bdef83d7e4d345a78984d49938,1266415667,f66625876ae527c10e4bb9cc34a85648e62fcc84,1265605229,HDFS
e20b6aec2875990119dff911950265f32d0cce76,1266875384,7a0855e20a346a9fa6a95b2114192a909632aab8,1256332874,HDFS
8f9106b922aed90cc3a3b5d5c669a16a44afdfc9,1268263512,2f1a075a9a2161c7e92c1b51e76299e264ac8946,1242708307,HDFS
b98fdf507549c1f42b6b145975cd902879f0a612,1268947639,9cbcf0b6a3e7c8dcfce41546c0ac0fd44424ce06,1264486615,HDFS
b98fdf507549c1f42b6b145975cd902879f0a612,1268947639,12bbab73fa246efd22a316845743094023b23b30,1267149866,HDFS
7facb02727350ec7230563825c04b0d3600e97ab,1269043910,57e25e8ada7b959036f7ea3a1acc081e7edb7ab1,1257752272,HDFS
7facb02727350ec7230563825c04b0d3600e97ab,1269043910,1acb1770c9e0ff423b5da6dda73cc1fac12c2f18,1257750529,HDFS
823e02a5798395e7eb64034368463e5c4e27eb6e,1269627749,2f1a075a9a2161c7e92c1b51e76299e264ac8946,1242708307,HDFS
2738bb1b38bf6a015e5006d53518a1b9ca84fbe2,1270017318,415ccedbd222bc67d91e067978b7b383b3284c5a,1242707756,HDFS
2738bb1b38bf6a015e5006d53518a1b9ca84fbe2,1270017318,bb63f0d8a0ad758355419dfcf8bcdf997ce4a441,1269923293,HDFS
8c12bbb9ee28bbbc73b97c7cf9cec3275ce6d9d2,1270503508,2f1a075a9a2161c7e92c1b51e76299e264ac8946,1242708307,HDFS
7ceb33c49fc16f76a976512cf9a9513c6574a0fa,1270577868,2738bb1b38bf6a015e5006d53518a1b9ca84fbe2,1270017318,HDFS
7ceb33c49fc16f76a976512cf9a9513c6574a0fa,1270577868,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
7ceb33c49fc16f76a976512cf9a9513c6574a0fa,1270577868,415ccedbd222bc67d91e067978b7b383b3284c5a,1242707756,HDFS
a2310d3c1db227784964e180d0f6d1cf65223452,1270589196,124446ae274dc366a779369605c584ecceda91a4,1246056503,HDFS
a2310d3c1db227784964e180d0f6d1cf65223452,1270589196,4088375cdd895c271513cffd38625af8ccb794ce,1270576228,HDFS
a2310d3c1db227784964e180d0f6d1cf65223452,1270589196,7f48951b7554ea4e59938e7f604c5e578e03afed,1270586773,HDFS
fa22ac6e504f94b4e28dc3cee219637824951bee,1270749849,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
a535ee1ee470166c2454a2481da44f84219266ac,1271724531,12bbab73fa246efd22a316845743094023b23b30,1267149866,HDFS
272959979aebf8c693729f2ab461a8d6388fbf81,1271811959,56e0c33a1ddc84d30888b73784b9716d5e3ae135,1271718780,HDFS
272959979aebf8c693729f2ab461a8d6388fbf81,1271811959,cbffc8b24e66127a7dab59ff876a08e7e89114d2,1263255713,HDFS
272959979aebf8c693729f2ab461a8d6388fbf81,1271811959,7894f9e64c891257d3c9d15f9abaf5f2f072db6d,1269468035,HDFS
d57c771c3e2987281bb5212d0c300f5abb26143a,1271834336,5cb03774f9c5549023421d9baca94e357f7b9bb2,1270672755,HDFS
d57c771c3e2987281bb5212d0c300f5abb26143a,1271834336,c08188db3363fa446cac8577bc1d5ef8f6c04d51,1257198343,HDFS
d57c771c3e2987281bb5212d0c300f5abb26143a,1271834336,8fa43c37893061effc3c39420341e0e417178c23,1267043752,HDFS
d57c771c3e2987281bb5212d0c300f5abb26143a,1271834336,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
1fe8b7121402c0d8dbf3babc427105cac82e562a,1271876816,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
60aa6b246040015157bc1d2478bce3c60b12fbed,1272144655,5659dc7f7ec2258b69a0beff1bbcf6b2029bdd12,1270593134,HDFS
abb8a22937958bdc8a43eccf182b851bc62f4dce,1272665164,415ccedbd222bc67d91e067978b7b383b3284c5a,1242707756,HDFS
abb8a22937958bdc8a43eccf182b851bc62f4dce,1272665164,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,4088375cdd895c271513cffd38625af8ccb794ce,1270576228,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,2f1a075a9a2161c7e92c1b51e76299e264ac8946,1242708307,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,124446ae274dc366a779369605c584ecceda91a4,1246056503,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,4e1c26d2c8190572192d474140ee89c39111f19d,1265139863,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,24812a02436d13caff6967c92ce10ad0306e9f2c,1270614080,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,29aecea97dc64aebe8e0a44ec7f7de5f663bd404,1245103986,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,bce415149cf2412a39b52e2ca27b1fa37207c740,1266876833,HDFS
61f78ca936768aea56764dee2fdb21bd59ecdf0b,1273518420,df189829064222aa6744406bae64798b1ddd227f,1267228689,HDFS
0c012ee668e9958a36a04e5b153e969a656b1436,1273612313,8fa43c37893061effc3c39420341e0e417178c23,1267043752,HDFS
0c012ee668e9958a36a04e5b153e969a656b1436,1273612313,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
0c012ee668e9958a36a04e5b153e969a656b1436,1273612313,58f1184e1af04654a42993cf75d16df6d9e93db2,1254353970,HDFS
0da247a16c76b4e1aa8c23828dda916d1385cc41,1273614433,8fa43c37893061effc3c39420341e0e417178c23,1267043752,HDFS
0da247a16c76b4e1aa8c23828dda916d1385cc41,1273614433,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
32f7cc243fedf758fdb89b4b1a8f5373411ccfc5,1273899910,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
bbcfef4aa1885e054cb60eb0053d9cf9f9d1db32,1274314075,3da6edda389fb32131658c589f926db1c3bf6a67,1264580458,HDFS
32af1b3779d4a035a9976c32c9414d9d8fdb48b2,1274465495,415ccedbd222bc67d91e067978b7b383b3284c5a,1242707756,HDFS
32af1b3779d4a035a9976c32c9414d9d8fdb48b2,1274465495,7e2c7b22877358296dbf3dd1d75aa345192764d4,1248993202,HDFS
32af1b3779d4a035a9976c32c9414d9d8fdb48b2,1274465495,6a3ac690e493c7da45bbf2ae2054768c427fd0e1,1242706840,HDFS
32af1b3779d4a035a9976c32c9414d9d8fdb48b2,1274465495,b72abcf9644ce2e3e62e5093d35d61414de1340c,1273808470,HDFS
32af1b3779d4a035a9976c32c9414d9d8fdb48b2,1274465495,d9561504e39c44f49c13386b0424746691fcf62d,1256775097,HDFS
