issue_key,commit_id
IGNITE-80,5de74fe6d7f3837310cfd9f4f9e5d2636560e182
IGNITE-73,ab8b24ae8f54b5d63c91d3683ab7f158c44f1bf0
IGNITE-72,18e02cd7c30b47d5e821f57d182f12550ccc3501
IGNITE-71,9b6f75e27be952f9e703824feb65183e0e6b2aa9
IGNITE-70,d6cf7b4626c41b744493454b0531c24db93a64ae
IGNITE-69,3e5be9310a7e558474eef325dcc9595898e8e060
IGNITE-67,a360ab7794b844dd49693de91a7a7f9b115486dd
IGNITE-66,e9ea63e23ef25c93978b7e1825aecde566233f29
IGNITE-65,900b958aecb8b35d2d9b004ba248b0c6502fcf79
IGNITE-64,6efcfb231c125e7bc4c2c0d8a7cb0df72c4b429e
IGNITE-63,91d2b89863db37c40489bedc5b046bc5b7e93928
IGNITE-62,1164ff21848508d01a65160fd7c3c897c5ee2232
IGNITE-1590,962fcce3acbecd028c4787a6255fedcdcbdf9db1
IGNITE-1573,a411f94d29b9073457ae2b31f89dd9f702e6bf53
IGNITE-1566,18077e073c130966e61b221a35527f8217377ebe
IGNITE-1564,273f291d9fac0919d57b9ed732564b323a956f90
IGNITE-1557,00e61e52678aefc2fcad0179fb3e05b46265b102
IGNITE-1554,dc379fe14179a819818e31b190a68982f4dd24a7
IGNITE-1552,740291871013bef818edf3faf19c8d4c6eab1ba5
IGNITE-1545,fec2450fd1f024696ae60ba3c67e6c7de4dbeca6
IGNITE-1544,8a9cc5408f99713fb4a1a9036940fc76aef7b050
IGNITE-1537,de08cd554e75db0df06a5438da5012ebf6c7ad09
IGNITE-1536,7db44f11f7925b5a29a0a3e017baa93b52fb2982
IGNITE-1526,6afc2fc3ca390dad7834105b53804b89f50aecf2
IGNITE-1524,04f4f54a7ff1d43fa3baf4fa07865a8163796a82
IGNITE-1522,e51fb420d1284465c7cbe55a28c2374ddf67d495
IGNITE-1516,72c3eef2aa31df4a68b46a8877809cc0f49c1368
IGNITE-1515,54bb7d760d9c1261a64fcf3d0be858be7b14444e
IGNITE-1500,1021d4eaf4b8318786f3ea7e44e5acef2fbb9004
IGNITE-1498,cd6a1d513adab5a24b33a9315bfd083c2f4383ee
